"B CELL","CAF","ENDOTHELIAL","MACROPHAGE","MALIGNANT","NK","T CD4","T CD8","T CELL","STROMA","IMMUNE","T CD4 EXHAUSTED","T CD4 NAIVE","T CD4 TREG","T CD8 CYTOTOXIC","T CD8 EXHAUSTED","T CD8 NAIVE"
"","","","NCF4","ROPN1B","","","","","","","","","","","",""
"","","","NCKAP1L","RRS1","","","","","","","","","","","",""
"","","","NCOA4","RSL1D1","","","","","","","","","","","",""
"","","","NFAM1","RTKN","","","","","","","","","","","",""
"","","","NFKBID","RUVBL2","","","","","","","","","","","",""
"","","","NINJ1","S100A1","","","","","","","","","","","",""
"","","","NLRC4","S100B","","","","","","","","","","","",""
"","","","NLRP3","SAMM50","","","","","","","","","","","",""
"","","","NMI","SCD","","","","","","","","","","","",""
"","","","NOD2","SDC3","","","","","","","","","","","",""
"","","","NPC2","SDCBP","","","","","","","","","","","",""
"","","","NPL","SDHC","","","","","","","","","","","",""
"","","","NR1H3","SEC11C","","","","","","","","","","","",""
"","","","OAS1","SF3A1","","","","","","","","","","","",""
"","","","OAZ1","SGCD","","","","","","","","","","","",""
"","","","OLR1","SHC4","","","","","","","","","","","",""
"","","","OSCAR","SKP1","","","","","","","","","","","",""
"","","","P2RX4","SLC19A1","","","","","","","","","","","",""
"","","","P2RY12","SLC19A2","","","","","","","","","","","",""
"","","","P2RY13","SLC24A5","","","","","","","","","","","",""
"","","","P2RY14","SLC25A13","","","","","","","","","","","",""
"","","","P2RY6","SLC25A4","","","","","","","","","","","",""
"","","","PAK1","SLC39A4","","","","","","","","","","","",""
"","","","PCK2","SLC45A2","","","","","","","","","","","",""
"","","","PFKFB3","SLC5A3","","","","","","","","","","","",""
"","","","PGD","SLC6A15","","","","","","","","","","","",""
"","","","PILRA","SLC7A5","","","","","","","","","","","",""
"","","","PLA2G15","SLMO2","","","","","","","","","","","",""
"","","","PLA2G7","SMS","","","","","","","","","","","",""
"","","","PLAUR","SNCA","","","","","","","","","","","",""
"","","","PLBD1","SNHG16","","","","","","","","","","","",""
"","","","PLEK","SNHG6","","","","","","","","","","","",""
"","","","PLEKHO1","SNRPC","","","","","","","","","","","",""
"","","","PLEKHO2","SNRPD1","","","","","","","","","","","",""
"","","","PLIN2","SNRPE","","","","","","","","","","","",""
"","","","PLXDC2","SOD1","","","","","","","","","","","",""
"","","","PPM1M","SORD","","","","","","","","","","","",""
"","","","PPT1","SORT1","","","","","","","","","","","",""
"","","","PRAM1","SOX10","","","","","","","","","","","",""
"","","","PRKCD","SPCS1","","","","","","","","","","","",""
"","","","PSAP","SRP9","","","","","","","","","","","",""
"","","","PSME2","ST13","","","","","","","","","","","",""
"","","","PTAFR","ST3GAL4","","","","","","","","","","","",""
"","","","PTPRE","ST3GAL6","","","","","","","","","","","",""
"","","","PYCARD","ST6GALNAC2","","","","","","","","","","","",""
"","","","RAB20","STAM","","","","","","","","","","","",""
"","","","RAB4B","STIP1","","","","","","","","","","","",""
"","","","RAB8A","STK32A","","","","","","","","","","","",""
"","","","RASGEF1B","STMN1","","","","","","","","","","","",""
"","","","RASSF4","STOML2","","","","","","","","","","","",""
"","","","RBM47","STRA13","","","","","","","","","","","",""
"","","","RBPJ","STRADB","","","","","","","","","","","",""
"","","","REEP4","STX7","","","","","","","","","","","",""
"","","","RELT","STXBP1","","","","","","","","","","","",""
"","","","RGS10","SUPT4H1","","","","","","","","","","","",""
"","","","RGS18","SYNGR1","","","","","","","","","","","",""
"","","","RGS19","TBC1D10A","","","","","","","","","","","",""
"","","","RGS2","TBC1D16","","","","","","","","","","","",""
"","","","RHBDF2","TBC1D7","","","","","","","","","","","",""
"","","","RHOG","TBCA","","","","","","","","","","","",""
"","","","RILPL2","TBRG4","","","","","","","","","","","",""
"","","","RIPK2","TEX2","","","","","","","","","","","",""
"","","","RNASE6","TFAP2A","","","","","","","","","","","",""
"","","","RNASEK","TIMM50","","","","","","","","","","","",""
"","","","RNASET2","TMED10","","","","","","","","","","","",""
"","","","RNF13","TMEM147","","","","","","","","","","","",""
"","","","RNF130","TMEM177","","","","","","","","","","","",""
"","","","RNF144B","TMEM255A","","","","","","","","","","","",""
"","","","RNF149","TMX4","","","","","","","","","","","",""
"","","","RTN1","TOM1L1","","","","","","","","","","","",""
"","","","S100A11","TOMM20","","","","","","","","","","","",""
"","","","S100A8","TOMM22","","","","","","","","","","","",""
"","","","S100A9","TOMM6","","","","","","","","","","","",""
"","","","SAMHD1","TOMM7","","","","","","","","","","","",""
"","","","SAT1","TOP1MT","","","","","","","","","","","",""
"","","","SCAMP2","TRIM2","","","","","","","","","","","",""
"","","","SCIMP","TRIM63","","","","","","","","","","","",""
"","","","SCO2","TRMT112","","","","","","","","","","","",""
"","","","SCPEP1","TSNAX","","","","","","","","","","","",""
"","","","SDS","TTLL4","","","","","","","","","","","",""
"","","","SECTM1","TUBB2A","","","","","","","","","","","",""
"","","","SEMA4A","TUBB2B","","","","","","","","","","","",""
"","","","SERPINA1","TUBB4A","","","","","","","","","","","",""
"","","","SERPINB1","TYR","","","","","","","","","","","",""
"","","","SFT2D1","TYRP1","","","","","","","","","","","",""
"","","","SGPL1","UBA2","","","","","","","","","","","",""
"","","","SH3BGRL","UBL3","","","","","","","","","","","",""
"","","","SHKBP1","UCHL5","","","","","","","","","","","",""
"","","","SIGLEC1","UQCRH","","","","","","","","","","","",""
"","","","SIGLEC14","UTP18","","","","","","","","","","","",""
"","","","SIGLEC5","VAT1","","","","","","","","","","","",""
"","","","SIGLEC7","VDAC1","","","","","","","","","","","",""
"","","","SIGLEC9","WBP11","","","","","","","","","","","",""
"","","","SIRPA","WBP2","","","","","","","","","","","",""
"","","","SIRPB1","WBSCR22","","","","","","","","","","","",""
"","","","SIRPB2","WDFY1","","","","","","","","","","","",""
"","","","SKAP2","WDR43","","","","","","","","","","","",""
"","","","SLAMF8","XAGE1A","","","","","","","","","","","",""
"","","","SLC11A1","XAGE1B","","","","","","","","","","","",""
"","","","SLC15A3","XAGE1C","","","","","","","","","","","",""
"","","","SLC16A3","XAGE1D","","","","","","","","","","","",""
"","","","SLC1A3","XAGE1E","","","","","","","","","","","",""
"","","","SLC25A19","XYLB","","","","","","","","","","","",""
"","","","SLC29A3","ZCCHC17","","","","","","","","","","","",""
"","","","SLC2A5","ZFAS1","","","","","","","","","","","",""
"","","","SLC2A8","ZFP106","","","","","","","","","","","",""
"","","","SLC2A9","ZNF280B","","","","","","","","","","","",""
"","","","SLC31A2","","","","","","","","","","","","",""
"","","","SLC43A2","","","","","","","","","","","","",""
"","","","SLC46A3","","","","","","","","","","","","",""
"","","","SLC7A7","","","","","","","","","","","","",""
"","","","SLC9A9","","","","","","","","","","","","",""
"","","","SLCO2B1","","","","","","","","","","","","",""
"","","","SMPDL3A","","","","","","","","","","","","",""
"","","","SNX10","","","","","","","","","","","","",""
"","","","SNX6","","","","","","","","","","","","",""
"","","","SOD2","","","","","","","","","","","","",""
"","","","SPI1","","","","","","","","","","","","",""
"","","","SPINT2","","","","","","","","","","","","",""
"","","","SQRDL","","","","","","","","","","","","",""
"","","","SRC","","","","","","","","","","","","",""
"","","","STX11","","","","","","","","","","","","",""
"","","","STXBP2","","","","","","","","","","","","",""
"","","","TALDO1","","","","","","","","","","","","",""
"","","","TBXAS1","","","","","","","","","","","","",""
"","","","TFRC","","","","","","","","","","","","",""
"","","","TGFBI","","","","","","","","","","","","",""
"","","","THEMIS2","","","","","","","","","","","","",""
"","","","TIFAB","","","","","","","","","","","","",""
"","","","TLR1","","","","","","","","","","","","",""
"","","","TLR2","","","","","","","","","","","","",""
"","","","TLR4","","","","","","","","","","","","",""
"","","","TLR5","","","","","","","","","","","","",""
"","","","TLR8","","","","","","","","","","","","",""
"","","","TMEM106A","","","","","","","","","","","","",""
"","","","TMEM144","","","","","","","","","","","","",""
"","","","TMEM176A","","","","","","","","","","","","",""
"","","","TMEM176B","","","","","","","","","","","","",""
"","","","TMEM37","","","","","","","","","","","","",""
"","","","TMEM51","","","","","","","","","","","","",""
"","","","TMEM86A","","","","","","","","","","","","",""
"","","","TNFAIP2","","","","","","","","","","","","",""
"","","","TNFAIP8L2","","","","","","","","","","","","",""
"","","","TNFSF13","","","","","","","","","","","","",""
"","","","TNFSF13B","","","","","","","","","","","","",""
"","","","TPP1","","","","","","","","","","","","",""
"","","","TRAFD1","","","","","","","","","","","","",""
"","","","TREM1","","","","","","","","","","","","",""
"","","","TREM2","","","","","","","","","","","","",""
"","","","TRPM2","","","","","","","","","","","","",""
"","","","TTYH3","","","","","","","","","","","","",""
"","","","TWF2","","","","","","","","","","","","",""
"","","","TYMP","","","","","","","","","","","","",""
"","","","TYROBP","","","","","","","","","","","","",""
"","","","UBE2D1","","","","","","","","","","","","",""
"","","","UBXN11","","","","","","","","","","","","",""
"","","","UNC93B1","","","","","","","","","","","","",""
"","","","VAMP8","","","","","","","","","","","","",""
"","","","VMO1","","","","","","","","","","","","",""
"","","","VSIG4","","","","","","","","","","","","",""
"","","","WDFY2","","","","","","","","","","","","",""
"","","","ZEB2","","","","","","","","","","","","",""
"","","","ZNF267","","","","","","","","","","","","",""
"","","","ZNF385A","","","","","","","","","","","","",""
